purchase_id,user_id,skin_name,rarity,price_vp,region,payment_method,purchase_date
1,605339,Oni Katana,Deluxe,1275,NA,PayPal,2026-02-26 22:58:47
2,387982,Reaver Vandal,Select,875,LAS,PayPal,2026-01-18 05:18:00
3,702061,Prelude to Chaos Vandal,Select,875,LAS,Credit Card,2026-01-08 13:15:54
4,559094,RGX Blade,Deluxe,1275,BR,Credit Card,2026-02-19 03:02:30
5,207249,Prelude to Chaos Vandal,Premium,1775,EU,Credit Card,2026-02-01 10:57:54
6,449086,Elderflame Operator,Premium,1775,EU,PayPal,2026-03-01 13:17:26
7,470098,Prelude to Chaos Vandal,Premium,1775,LAS,PayPal,2026-01-08 22:08:39
8,804473,Glitchpop Phantom,Deluxe,1275,LAN,PayPal,2026-03-31 09:07:33
9,969720,Elderflame Operator,Select,875,NA,PayPal,2026-01-12 01:03:58
10,629587,Oni Katana,Ultra,2475,NA,Credit Card,2026-02-05 02:27:57
11,971661,RGX Blade,Select,875,NA,Credit Card,2026-01-22 18:59:19
12,238705,Prelude to Chaos Vandal,Select,875,LAS,Valorant Points Card,2026-02-18 22:16:06
13,152233,Prelude to Chaos Vandal,Deluxe,1275,LAN,Credit Card,2026-01-07 18:14:03
14,922594,Glitchpop Phantom,Select,875,LAS,Valorant Points Card,2026-02-15 12:38:41
15,275874,Reaver Vandal,Ultra,2475,LAN,PayPal,2026-04-18 13:02:10
16,706663,Ion Sheriff,Select,875,EU,Credit Card,2026-02-15 18:05:10
17,546100,RGX Blade,Select,875,LAS,Credit Card,2026-02-15 12:28:23
18,392284,Ion Sheriff,Ultra,2475,EU,PayPal,2026-04-30 14:04:05
19,933155,Reaver Vandal,Deluxe,1275,LAN,Valorant Points Card,2026-04-17 17:27:08
20,108166,Elderflame Operator,Deluxe,1275,AP,PayPal,2026-03-31 12:14:23
21,329677,Prime Phantom,Deluxe,1275,LAS,Valorant Points Card,2026-01-16 05:46:20
22,241474,Reaver Vandal,Select,875,LAN,Valorant Points Card,2026-02-24 10:11:55
23,408483,Ion Sheriff,Deluxe,1275,LAS,Valorant Points Card,2026-01-04 12:30:11
24,996858,Glitchpop Phantom,Select,875,EU,Valorant Points Card,2026-01-24 02:30:49
25,253617,Prelude to Chaos Vandal,Premium,1775,LAN,Credit Card,2026-04-25 00:02:21
26,768813,RGX Blade,Deluxe,1275,AP,PayPal,2026-01-21 17:05:12
27,825826,Prime Phantom,Deluxe,1275,LAS,Credit Card,2026-01-31 12:35:58
28,433352,Prelude to Chaos Vandal,Select,875,LAS,PayPal,2026-02-09 17:43:52
29,649304,Reaver Vandal,Premium,1775,BR,Credit Card,2026-02-10 10:04:18
30,863523,Elderflame Operator,Deluxe,1275,EU,PayPal,2026-03-02 12:06:11
31,735216,RGX Blade,Select,875,NA,Valorant Points Card,2026-02-05 16:43:40
32,670214,RGX Blade,Deluxe,1275,AP,Valorant Points Card,2026-01-23 13:08:39
33,140263,Elderflame Operator,Select,875,EU,Valorant Points Card,2026-01-02 01:37:11
34,300231,Prime Phantom,Select,875,LAS,Valorant Points Card,2026-01-03 20:49:52
35,856671,Oni Katana,Premium,1775,LAN,Valorant Points Card,2026-03-23 05:11:34
36,973879,Elderflame Operator,Select,875,AP,Credit Card,2026-04-25 21:43:12
37,525527,Reaver Vandal,Select,875,EU,Valorant Points Card,2026-04-06 01:54:01
38,397184,RGX Blade,Premium,1775,BR,PayPal,2026-03-19 06:17:49
39,793684,Elderflame Operator,Select,875,BR,Valorant Points Card,2026-03-21 17:51:09
40,543292,Glitchpop Phantom,Premium,1775,EU,PayPal,2026-04-01 19:04:44
